HSK_Vocab_ID	HSK_Vocab_Level	HSK_Vocab_Pinyin	HSK_Vocab	HSK_Vocab_Sentance
1	1	ài	爱	可爱~
2	1	àihào	爱好	我爱好翻译。
3	1	bā	八	她八岁。
4	1	bàba | bà	爸爸|爸	爸爸，我爱你！
5	1	bā	吧	学吧！
6	1	bái	白	明白。
7	1	báitiān	白天	那时是白天。
8	1	bǎi	百	二百五！
9	1	bān	班	今晚谁上班？
10	1	bàn	半	你打半工吗？
11	1	bànnián	半年	她半年后就要出国了。
12	1	bàntiān	半天	他们看了那部电影半天了。
13	1	bāng	帮	帮她！
14	1	bāngmáng	帮忙	我能帮忙吗？
15	1	bāo	包	请包起来。
16	1	bāozi	包子	人生不是甜的包子。
17	1	bēi	杯	干杯！
18	1	bēizi	杯子	杯子易碎。
19	1	běi	北	北京热吗？
20	1	běibiān	北边	风从北边来。
21	1	běijīng	北京	北京热吗？
22	1	běn	本	本来嘛!
23	1	běnzi	本子	这个本子是用来记笔记的。
24	1	bǐ	比	你比我高。
25	1	bié	别	别动！
26	1	biéde	别的	还有别的吗？
27	1	biéren	别人	请让别人去做。
28	1	bìng	病	你有病！
29	1	bìngrén	病人	病人随时会死。
30	1	bù dà	不大	你的船不大。
31	1	bù duì	不对	不对。
32	1	bù kèqi	不客气	不客气
33	1	bùyòng	不用	不用谢。
34	1	bù	不	不！
35	1	cài	菜	上菜。
36	1	chá	茶	请喝茶！
37	1	chā	差	最差劲!
38	1	cháng	常	非常好！
39	1	chángcháng	常常	我常常看书。
40	1	chàng	唱	你唱。
41	1	chànggē	唱歌	请唱歌。
42	1	chē	车	车！
43	1	chēpiào	车票	火车票贵吗？
44	1	chēshàng	车上	KP骑脚踏车上学。
45	1	chēzhàn	车站	那是车站吗？
46	1	chī	吃	吃了没
47	1	chīfàn	吃饭	吃饭了！
48	1	chū	出	出去！
49	1	chūlái	出来	出来。
50	1	chūqù	出去	出去！
51	1	chuān	穿	穿上.
52	1	chuáng	床	起床!
53	1	cì	次	再一次。
54	1	cóng	从	从哪里而来？
55	1	cuò	错	错。
56	1	dǎ	打	别打岔!
57	1	dǎchē	打车	我们打车去吧！
58	1	dǎdiànhuà	打电话	打电话。
59	1	dǎkāi	打开	别打开。
60	1	dǎqiú	打球	我妹妹打球。
61	1	dà	大	大家好！
62	1	dàxué	大学	他在读大学。
63	1	dàxuéshēng	大学生	你是大学生吗？
64	1	dào	到	买到啦？
65	1	dédào	得到	他做得到。
66	1	dì	地	慢慢地
67	1	de	的	真的？
68	1	děng	等	等等！
69	1	dì	地	慢慢地
70	1	dìdiǎn	地点	集合地点是哪儿？
71	1	dìfāng	地方	什么地方
72	1	dìshang	地上	趴在地上!
73	1	dìtú	地图	你有地图吗？
74	1	dìdi | dì	弟弟|弟	你有弟弟吗？
75	1	dì （ dìèr ）	第（第二）	第二个吧。
76	1	diǎn	点	快点!
77	1	diàn	电	电话。
78	1	diànhuà	电话	电话。
79	1	diànnǎo	电脑	电脑坏了。
80	1	diànshì	电视	开电视。
81	1	diànshìjī	电视机	关闭电视机
82	1	diànyǐng	电影	电影好看吗？
83	1	diànyǐngyuàn	电影院	我们去电影院吗？
84	1	dōng	东	吃东西。
85	1	dōngbian	东边	村庄的东边有湖
86	1	dōngxi	东西	吃东西。
87	1	dòng	动	别动！
88	1	dòngzuò	动作	松鼠动作很快。
89	1	dū	都	全都好吃！
90	1	dú	读	读！
91	1	dúshū	读书	你爱读书吗？
92	1	duì	对	对！
93	1	duìbuqǐ	对不起	对不起！
94	1	duō	多	多!
95	1	duōshǎo	多少	多少钱？
96	1	è	饿	我好饿！
97	1	érzi	儿子	我的儿子！
98	1	èr	二	二百五！
99	1	fàn	饭	吃饭了！
100	1	fàndiàn	饭店	我要去饭店。
101	1	fángjiān	房间	有房间
102	1	fángzi	房子	房子很小。
103	1	fàng	放	放屁！
104	1	fàngjià	放假	他今天放假。
105	1	fàngxué	放学	什么时候放学？
106	1	fēi	飞	我不飞
107	1	fēijī	飞机	看！飞机！
108	1	fēicháng	非常	非常好！
109	1	fēn	分	真过分!
110	1	fēng	风	一路顺风！
111	1	gān	干	干杯！
112	1	gānjìng	干净	浴室干净吗？
